2025-01-20 17:21:00 - INFO - ✅ Дані для TRU успішно збережено в базу.
2025-01-20 17:21:01 - INFO - ✅ Дані для PIXEL успішно збережено в базу.
2025-01-20 17:21:01 - INFO - ✅ Дані для AAVE успішно збережено в базу.
2025-01-20 17:21:01 - INFO - ✅ Дані для ARKM успішно збережено в базу.
2025-01-20 17:21:01 - INFO - ✅ Дані для IMX успішно збережено в базу.
2025-01-20 17:21:01 - INFO - ✅ Дані для GALA успішно збережено в базу.
2025-01-20 17:21:02 - INFO - ✅ Дані для NKN успішно збережено в базу.
2025-01-20 17:21:02 - INFO - ✅ Дані для SUI успішно збережено в базу.
2025-01-20 17:21:02 - INFO - ✅ Дані для ETC успішно збережено в базу.
2025-01-20 17:21:02 - INFO - ✅ Дані для STRAX успішно збережено в базу.
2025-01-20 17:21:03 - INFO - ✅ Дані для XLM успішно збережено в базу.
2025-01-20 17:21:03 - INFO - ✅ Дані для UNI успішно збережено в базу.
2025-01-20 17:21:03 - INFO - ✅ Дані для STG успішно збережено в базу.
2025-01-20 17:21:03 - INFO - ✅ Дані для TLM успішно збережено в базу.
2025-01-20 17:21:03 - INFO - ✅ Дані для THETA успішно збережено в базу.
2025-01-20 17:21:03 - INFO - ✅ Дані для NEAR успішно збережено в базу.
2025-01-20 17:21:04 - INFO - ✅ Дані для SNT успішно збережено в базу.
2025-01-20 17:21:04 - INFO - ✅ Дані для LUNA успішно збережено в базу.
2025-01-20 17:21:04 - INFO - ✅ Дані для RAY успішно збережено в базу.
2025-01-20 17:21:04 - INFO - ✅ Дані для SHIB успішно збережено в базу.
2025-01-20 17:21:04 - INFO - ✅ Дані для BLZ успішно збережено в базу.
2025-01-20 17:21:05 - INFO - ✅ Дані для T успішно збережено в базу.
2025-01-20 17:21:05 - INFO - ✅ Дані для BADGER успішно збережено в базу.
2025-01-20 17:21:05 - INFO - ✅ Дані для MOVR успішно збережено в базу.
2025-01-20 17:21:05 - INFO - ✅ Дані для BNB успішно збережено в базу.
2025-01-20 17:21:05 - INFO - ✅ Дані для LPT успішно збережено в базу.
2025-01-20 17:21:06 - INFO - ✅ Дані для EGLD успішно збережено в базу.
2025-01-20 17:21:06 - INFO - ✅ Дані для LEVER успішно збережено в базу.
2025-01-20 17:21:06 - INFO - ✅ Дані для MBL успішно збережено в базу.
2025-01-20 17:21:06 - INFO - ✅ Дані для OM успішно збережено в базу.
2025-01-20 17:21:06 - INFO - ✅ Дані для PHA успішно збережено в базу.
2025-01-20 17:21:06 - INFO - ✅ Дані для ALT успішно збережено в базу.
2025-01-20 17:21:06 - INFO - ✅ Дані для NMR успішно збережено в базу.
2025-01-20 17:21:07 - INFO - ✅ Дані для ROSE успішно збережено в базу.
2025-01-20 17:21:07 - INFO - ✅ Дані для ANKR успішно збережено в базу.
2025-01-20 17:21:07 - INFO - ✅ Дані для ACH успішно збережено в базу.
2025-01-20 17:21:07 - INFO - ✅ Усі активи оброблено. Час виконання: 54.61 секунд.
2025-01-20 17:21:07 - INFO - ✅ Перше завдання виконано успішно.
2025-01-20 17:30:00 - INFO - Running job "process_assets (trigger: cron[minute='0,15,30,45'], next run at: 2025-01-20 17:45:00 EET)" (scheduled at 2025-01-20 17:30:00+02:00)
2025-01-20 17:30:00 - INFO - 🔢 Загальна кількість пар для обробки: 3001
2025-01-20 17:30:00 - INFO - 🔢 Кількість унікальних активів для обробки: 215
2025-01-20 17:30:05 - INFO - ✅ Дані для API3 успішно збережено в базу.
2025-01-20 17:30:06 - INFO - ✅ Дані для ILV успішно збережено в базу.
2025-01-20 17:30:06 - INFO - ✅ Дані для ARPA успішно збережено в базу.
2025-01-20 17:30:06 - INFO - ✅ Дані для WOO успішно збережено в базу.
2025-01-20 17:30:06 - INFO - ✅ Дані для SLP успішно збережено в базу.
2025-01-20 17:30:06 - INFO - ✅ Дані для ARK успішно збережено в базу.
2025-01-20 17:30:06 - INFO - ✅ Дані для DYM успішно збережено в базу.
2025-01-20 17:30:06 - INFO - ✅ Дані для CHZ успішно збережено в базу.
2025-01-20 17:30:07 - INFO - ✅ Дані для AUDIO успішно збережено в базу.
2025-01-20 17:30:07 - INFO - ✅ Дані для LRC успішно збережено в базу.
2025-01-20 17:30:07 - INFO - ✅ Дані для SNX успішно збережено в базу.
2025-01-20 17:30:07 - INFO - ✅ Дані для NTRN успішно збережено в базу.
2025-01-20 17:30:07 - INFO - ✅ Дані для MAGIC успішно збережено в базу.
2025-01-20 17:30:07 - INFO - ✅ Дані для LINK успішно збережено в базу.
2025-01-20 17:30:07 - INFO - ✅ Дані для LDO успішно збережено в базу.
2025-01-20 17:30:07 - INFO - ✅ Дані для OGN успішно збережено в базу.
2025-01-20 17:30:08 - INFO - ✅ Дані для QNT успішно збережено в базу.
2025-01-20 17:30:08 - INFO - ✅ Дані для CELR успішно збережено в базу.
2025-01-20 17:30:08 - INFO - ✅ Дані для USTC успішно збережено в базу.
2025-01-20 17:30:08 - INFO - ✅ Дані для ONE успішно збережено в базу.
2025-01-20 17:30:08 - INFO - ✅ Дані для CFX успішно збережено в базу.
2025-01-20 17:30:09 - INFO - ✅ Дані для ID успішно збережено в базу.
2025-01-20 17:30:09 - INFO - ✅ Дані для FLOKI успішно збережено в базу.
2025-01-20 17:30:09 - INFO - ✅ Дані для SEI успішно збережено в базу.
2025-01-20 17:30:09 - INFO - ✅ Дані для APE успішно збережено в базу.
2025-01-20 17:30:09 - INFO - ✅ Дані для SUSHI успішно збережено в базу.
2025-01-20 17:30:09 - INFO - ✅ Дані для C98 успішно збережено в базу.
2025-01-20 17:30:09 - INFO - ✅ Дані для JASMY успішно збережено в базу.
2025-01-20 17:30:09 - INFO - ✅ Дані для ORDI успішно збережено в базу.
2025-01-20 17:30:10 - INFO - ✅ Дані для XRP успішно збережено в базу.
2025-01-20 17:30:10 - INFO - ✅ Дані для UMA успішно збережено в базу.
2025-01-20 17:30:10 - INFO - ✅ Дані для SC успішно збережено в базу.
2025-01-20 17:30:10 - INFO - ✅ Дані для FXS успішно збережено в базу.
2025-01-20 17:30:10 - INFO - ✅ Дані для RDNT успішно збережено в базу.
2025-01-20 17:30:10 - INFO - ✅ Дані для DAR успішно збережено в базу.
2025-01-20 17:30:10 - INFO - ✅ Дані для PYTH успішно збережено в базу.
2025-01-20 17:30:10 - INFO - ✅ Дані для POWR успішно збережено в базу.
2025-01-20 17:30:10 - INFO - ✅ Дані для PEPE успішно збережено в базу.
2025-01-20 17:30:11 - INFO - ✅ Дані для MASK успішно збережено в базу.
2025-01-20 17:30:11 - INFO - ✅ Дані для CYBER успішно збережено в базу.
2025-01-20 17:30:11 - INFO - ✅ Дані для GAS успішно збережено в базу.
2025-01-20 17:30:11 - INFO - ✅ Дані для MEME успішно збережено в базу.
2025-01-20 17:30:11 - INFO - ✅ Дані для MANA успішно збережено в базу.
2025-01-20 17:30:11 - INFO - ✅ Дані для SAND успішно збережено в базу.
2025-01-20 17:30:11 - INFO - ✅ Дані для CVC успішно збережено в базу.
2025-01-20 17:30:11 - INFO - ✅ Дані для RAD успішно збережено в базу.
2025-01-20 17:30:12 - INFO - ✅ Дані для CTSI успішно збережено в базу.
2025-01-20 17:30:12 - INFO - ✅ Дані для LSK успішно збережено в базу.
2025-01-20 17:30:12 - INFO - ✅ Дані для XTZ успішно збережено в базу.
2025-01-20 17:30:12 - INFO - ✅ Дані для AI успішно збережено в базу.
2025-01-20 17:30:12 - INFO - ✅ Дані для AR успішно збережено в базу.
2025-01-20 17:30:12 - INFO - ✅ Дані для DODO успішно збережено в базу.
2025-01-20 17:30:12 - INFO - ✅ Дані для TIA успішно збережено в базу.
2025-01-20 17:30:12 - INFO - ✅ Дані для CELO успішно збережено в базу.
2025-01-20 17:30:13 - INFO - ✅ Дані для MINA успішно збережено в базу.
2025-01-20 17:30:13 - INFO - ✅ Дані для BCH успішно збережено в базу.
2025-01-20 17:30:13 - INFO - ✅ Дані для BNT успішно збережено в базу.
2025-01-20 17:30:13 - INFO - ✅ Дані для FIL успішно збережено в базу.
2025-01-20 17:30:13 - INFO - ✅ Дані для TRB успішно збережено в базу.
2025-01-20 17:30:13 - INFO - ✅ Дані для COS успішно збережено в базу.
2025-01-20 17:30:13 - INFO - ✅ Дані для RUNE успішно збережено в базу.
2025-01-20 17:30:13 - INFO - ✅ Дані для ETH успішно збережено в базу.
2025-01-20 17:30:14 - INFO - ✅ Дані для HIGH успішно збережено в базу.
2025-01-20 17:30:14 - INFO - ✅ Дані для COTI успішно збережено в базу.
2025-01-20 17:30:14 - INFO - ✅ Дані для IOST успішно збережено в базу.
2025-01-20 17:30:14 - INFO - ✅ Дані для QTUM успішно збережено в базу.
2025-01-20 17:30:14 - INFO - ✅ Дані для ASTR успішно збережено в базу.
2025-01-20 17:30:14 - INFO - ✅ Дані для MAV успішно збережено в базу.
2025-01-20 17:30:14 - INFO - ✅ Дані для ACE успішно збережено в базу.
2025-01-20 17:30:14 - INFO - ✅ Дані для BAKE успішно збережено в базу.
2025-01-20 17:30:15 - INFO - ✅ Дані для AVA успішно збережено в базу.
2025-01-20 17:30:15 - INFO - ✅ Дані для FET успішно збережено в базу.
2025-01-20 17:30:15 - INFO - ✅ Дані для XVS успішно збережено в базу.
2025-01-20 17:30:15 - INFO - ✅ Дані для GLM успішно збережено в базу.
2025-01-20 17:30:15 - INFO - ✅ Дані для FTM успішно збережено в базу.
2025-01-20 17:30:15 - INFO - ✅ Дані для SXP успішно збережено в базу.
2025-01-20 17:30:15 - INFO - ✅ Дані для WIF успішно збережено в базу.
2025-01-20 17:30:16 - INFO - ✅ Дані для VET успішно збережено в базу.
2025-01-20 17:30:16 - INFO - ✅ Дані для TWT успішно збережено в базу.
2025-01-20 17:30:16 - INFO - ✅ Дані для LINA успішно збережено в базу.
2025-01-20 17:30:16 - INFO - ✅ Дані для GMX успішно збережено в базу.
2025-01-20 17:30:16 - INFO - ✅ Дані для IOTX успішно збережено в базу.
2025-01-20 17:30:16 - INFO - ✅ Дані для WLD успішно збережено в базу.
2025-01-20 17:30:17 - INFO - ✅ Дані для CVX успішно збережено в базу.
2025-01-20 17:30:17 - INFO - ✅ Дані для STX успішно збережено в базу.
2025-01-20 17:30:17 - INFO - ✅ Дані для POLYX успішно збережено в базу.
2025-01-20 17:30:17 - INFO - ✅ Дані для ONG успішно збережено в базу.
2025-01-20 17:30:17 - INFO - ✅ Дані для PERP успішно збережено в базу.
2025-01-20 17:30:18 - INFO - ✅ Дані для OXT успішно збережено в базу.
